Year,Month,World,Education,Home & Garden,Great Homes & Destinations,Science,The Learning Network,Giving,Obituaries,Theater,Universal,Arts,The Upshot,Front Page,Real Estate,Corrections,Automobiles,International Home,Times Insider,"Great Homes, Destinations",Opinion,Books,Travel,Blogs,Food,Fashion & Style,Briefing,U.S.,Magazine,Crosswords & Games,Technology,Podcasts,Health,Movies,NYT Now,National,Multimedia,Unknown,N.Y. / Region,Sunday Review,Watching,Booming,Your Money,Times Topics,Dining & Wine,Business,Public Editor,T:Style,Washington,Well,Open,Sports,T Magazine,Week in Review,Job Market,New York
2013,4,35.68281938,35.59322034,69.76744186,90,32.62411348,,,17.39130435,30.20833333,,36.33952255,,37.5,62.16216216,,14.66666667,,,,16.41221374,46.66666667,76.92307692,,30.43478261,48.21428571,,39.5173454,39.49579832,10.34482759,29.43925234,,45.95959596,39.16083916,,,43.18181818,25,35.33568905,33.33333333,,34.7826087,37.5,,70.27027027,32.6171875,0,42.42424242,75,,37.5,18.14569536,40,,50,
2013,5,34.65045593,23.33333333,63.33333333,76.47058824,36.55913978,,,33.33333333,25.6097561,0,35.36977492,,100,59.3220339,,3.529411765,,,,19.09448819,39.55223881,74.07407407,,64.51612903,41.44486692,,35.38461538,34.31372549,7.142857143,31.62790698,,46.70658683,42.1686747,,,19.60784314,23.94366197,36.29764065,25,,43.24324324,31.25,,63.82978723,33.60824742,0,60,,,0,17.78606965,36.36363636,,62.5,
2013,6,31.3755796,50,70.45454545,75,32.35294118,,,0,13.95348837,,27.33944954,,,48.33333333,,5.208333333,,,,23.99193548,41.35802469,77.08333333,,43.47826087,49.6124031,,38.40947547,39.77272727,7.01754386,26.51933702,,47.82608696,40.625,,,45.94594595,27.5862069,34.0956341,50,,33.33333333,45,,66.66666667,32.90816327,0,44.82758621,,,0,22.03389831,50,,30,
2013,7,25.71428571,16.66666667,68.29268293,75,31.08108108,,,100,17.74193548,0,35.37284895,,,50,,13.95348837,,,,19.11196911,34.21052632,68.88888889,,58.97435897,54.21052632,,34.41295547,39.47368421,8.771929825,24.4047619,,57.93103448,27.34375,,,29.62962963,30.52631579,35.71428571,37.5,,58.33333333,29.41176471,,52.38095238,30.72139303,0,39.58333333,,,66.66666667,14.19068736,25,,37.5,
2013,8,26.2195122,32,69.64285714,82.35294118,31.66666667,,,,20.96774194,,34.2,,,53.06122449,,6.796116505,,,,20.04310345,40.33613445,65.88235294,,55.55555556,52.40963855,,34.75479744,21.68674699,6.896551724,20.40816327,,59.66386555,48.57142857,,,41.66666667,30.1369863,31.3229572,50,,51.61290323,41.66666667,,58.62068966,27.69010043,0,47.69230769,,,40,17.65799257,62.5,,0,
2013,9,24.09240924,32.14285714,72.34042553,66.66666667,51.35135135,,,,18.75,,31.75182482,,,49.20634921,,5.825242718,,,,19.9556541,40.71428571,79.12087912,,53.84615385,39.80263158,,35,41.4893617,8.196721311,22.09944751,,54.12844037,39.13043478,,,23.91304348,44.36090226,34.61538462,44.44444444,,40.74074074,51.85185185,0,50,29.10547397,0,48.29931973,,,75,13.55060034,25,,40,
2013,10,25.99388379,32,56.89655172,71.42857143,33.33333333,,,,15.29411765,,32.91925466,,,53.44827586,,9.89010989,,,,19.20289855,37.39837398,59.79381443,,70.45454545,47.90697674,,37.06896552,34.17721519,7.01754386,25.13089005,,53.17460317,40.12738854,,,31.25,31.52173913,36.36363636,42.85714286,,46.875,48.57142857,0,51.61290323,30.11764706,0,42.42424242,,,33.33333333,13.73626374,57.14285714,,62.5,
2013,11,22.52124646,58.82352941,67.44186047,80,22.58064516,,33.33333333,,25.27472527,,29.29824561,,,48,,10.16949153,,,,22.34848485,36.9047619,59.77011494,,66.66666667,44.58874459,,33.92156863,37.33333333,6.896551724,21.91780822,,63.57142857,38.75,,,49.01960784,28.57142857,38.0952381,25,,44.44444444,51.35135135,0,50,31.79487179,0,50,,,0,19.140625,66.66666667,,0,
2013,12,27.73722628,25,54.54545455,70,36,,,,28.57142857,,35.96899225,,,63.63636364,,8.974358974,,,0,20.03968254,39.52095808,58.97435897,0,72.5,49.29577465,,29.74828375,28.57142857,8.620689655,18.95424837,,51.53846154,39.02439024,,,54.32098765,38.20224719,35.55555556,33.33333333,,42.30769231,46.15384615,0,58.33333333,30.26134801,0,43.52941176,,,0,17.13709677,80,,50,
2014,1,27.21804511,53.84615385,62,44.44444444,24.63768116,,,,27.84810127,,35.25280899,,,60,,20.72072072,,,50,18.67219917,36.97478992,57.53424658,,61.53846154,51.27118644,,30.58161351,25.35211268,8.620689655,18.13953488,,54.46428571,29.29936306,,,63.52941176,39.40520446,37.26235741,12.5,,52,59.25925926,0,60,29.60088692,0,34.54545455,,,50,14.65346535,17.64705882,,37.5,
2014,2,26.3803681,41.17647059,62.5,78.57142857,20,,,,22.07792208,,34.86842105,,,58.92857143,,9.722222222,,,57.14285714,20,41.22807018,61.62790698,,71.92982456,49.81684982,,33.18284424,42.64705882,7.692307692,22.59887006,,61.94690265,30.1369863,,20,62.3655914,47.3015873,40.04914005,0,,0,34.09090909,,,31.2267658,0,54.6875,,,0,16.92844677,46.66666667,,37.5,
